LOC128966666	XR_008485321.1	20	-1	10925	71751	LOC128966666	transcript
LOC124908093	XR_007089328.1	20	1	26004	37073	LOC124908093	lnc_RNA
DDX11L13	NM_001433966.1	20	1	72708	75191	DDX11L13	mRNA
LOC124908094	XM_047446926.1	20	-1	75234	92618	LOC124908094	mRNA
LOC124908094	XM_047446921.1	20	-1	75234	92617	LOC124908094	mRNA
LOC124908094	XM_047446932.1	20	-1	75234	92479	LOC124908094	mRNA
LOC124908094	XM_047446934.1	20	-1	75234	92289	LOC124908094	mRNA
LOC124908094	XM_047446930.1	20	-1	75234	92281	LOC124908094	mRNA
LOC124908094	XM_047446928.1	20	-1	75234	92276	LOC124908094	mRNA
LOC124908094	XM_047446924.1	20	-1	75234	92274	LOC124908094	mRNA
LOC124908094	XM_047446933.1	20	-1	75234	92202	LOC124908094	mRNA
LOC124908094	XM_047446931.1	20	-1	75234	90518	LOC124908094	mRNA
LOC124908094	XM_047446929.1	20	-1	75234	90515	LOC124908094	mRNA
LOC124908094	XM_047446925.1	20	-1	75234	90513	LOC124908094	mRNA
LOC124908094	XM_047446923.1	20	-1	75234	87711	LOC124908094	mRNA
LOC124908094	XM_047446922.1	20	-1	75234	81133	LOC124908094	mRNA
LOC124908094	XM_047446927.1	20	-1	75234	79880	LOC124908094	mRNA
LOC124908094	XM_047446935.1	20	-1	77701	92618	LOC124908094	mRNA
LOC124908095	XR_007089330.1	20	1	92021	94328	LOC124908095	lnc_RNA
LOC124908095	XR_007089329.1	20	1	92771	94328	LOC124908095	lnc_RNA
DEFB125	NM_153325.4	20	1	130104	139527	DEFB125	mRNA
DEFB126	NM_001412225.1	20	1	185041	188196	DEFB126	mRNA
DEFB127	NM_139074.4	20	1	199981	201681	DEFB127	mRNA
DEFB128	NM_001037732.3	20	-1	230387	232245	DEFB128	mRNA
DEFB129	NM_080831.4	20	1	269795	272423	DEFB129	mRNA
DEFB132	NM_207469.3	20	1	300270	303642	DEFB132	mRNA
