LOC124905300_1	XM_047442785.1_1	X	-1	103469	105172	LOC124905300
PLCXD1	NM_001370370.1	X	1	104531	131585	PLCXD1
PLCXD1	NM_001370371.1	X	1	104531	131585	PLCXD1
PLCXD1	NM_001370372.1	X	1	104531	131585	PLCXD1
PLCXD1	NR_028057.2	X	1	104531	131585	PLCXD1
PLCXD1	XM_047442245.1	X	1	104531	131585	PLCXD1
PLCXD1	NM_018390.4	X	1	109616	131585	PLCXD1
PLCXD1	NR_163416.1	X	1	109616	131585	PLCXD1
PLCXD1	NM_001370373.1	X	1	111713	131585	PLCXD1
PLCXD1	XM_024452395.2	X	1	111753	131585	PLCXD1
PLCXD1	XM_047442244.1	X	1	111922	131585	PLCXD1
GTPBP6	XM_047442546.1	X	-1	132988	147970	GTPBP6
GTPBP6	NM_012227.4	X	-1	132988	149851	GTPBP6
GTPBP6	XM_047442543.1	X	-1	132988	149851	GTPBP6
GTPBP6	XM_047442544.1	X	-1	132988	149851	GTPBP6
GTPBP6	XM_047442545.1	X	-1	132988	149851	GTPBP6
LINC00685	NR_027231.1	X	1	150200	152387	LINC00685
LINC00685	NR_027232.1	X	1	150200	152387	LINC00685
PPP2R3B	XM_047442006.1	X	-1	165039	207802	PPP2R3B
PPP2R3B	NM_013239.5	X	-1	165039	218172	PPP2R3B
PPP2R3B	XM_047442003.1	X	-1	165344	196588	PPP2R3B
PPP2R3B	XM_047442002.1	X	-1	165344	207802	PPP2R3B
PPP2R3B	XM_047442001.1	X	-1	165344	218172	PPP2R3B
PPP2R3B	XM_047442004.1	X	-1	165344	218172	PPP2R3B
PPP2R3B	XM_047442005.1	X	-1	165344	218172	PPP2R3B
PPP2R3B	XM_011546177.4	X	-1	166064	218172	PPP2R3B
LOC102724521	XR_001755744.2	X	1	261705	304037	LOC102724521
LOC102724521	XR_007068359.1	X	1	261949	274501	LOC102724521
SHOX	NM_006883.2	X	1	464175	499150	SHOX
SHOX	NM_000451.4	X	1	470958	491345	SHOX
CRLF2	NM_001012288.3	X	-1	1035684	1058464	CRLF2
CRLF2	NM_022148.4	X	-1	1035684	1058464	CRLF2
CRLF2	NR_110830.2	X	-1	1035684	1058464	CRLF2
CRLF2	XM_011546181.3	X	-1	1035684	1058464	CRLF2
CSF2RA	NM_001161531.2	X	1	1116126	1155344	CSF2RA
