LOC124908428	XM_047447054.1	22	1	50815	76929	LOC124908428	mRNA
LOC124908437	XM_047447058.1	22	-1	2321842	2322372	LOC124908437	mRNA
LOC124908455	XR_007090796.1	22	1	3710702	3772939	LOC124908455	lnc_RNA
LOC124908455	XR_007090793.1	22	1	3710702	3772939	LOC124908455	lnc_RNA
LOC124908455	XR_007090797.1	22	1	3710702	3772939	LOC124908455	lnc_RNA
LOC124908455	XR_007090794.1	22	1	3710702	3767419	LOC124908455	lnc_RNA
LOC124908455	XR_007090798.1	22	1	3710702	3767419	LOC124908455	lnc_RNA
LOC124908455	XR_007090790.1	22	1	3710702	3755256	LOC124908455	lnc_RNA
LOC124908455	XR_007090789.1	22	1	3710702	3739266	LOC124908455	lnc_RNA
LOC124908455	XR_007090795.1	22	1	3710702	3729362	LOC124908455	lnc_RNA
LOC124908455	XR_007090792.1	22	1	3710702	3718315	LOC124908455	lnc_RNA
LOC124908455	XR_007090788.1	22	1	3710702	3715197	LOC124908455	lnc_RNA
LOC124908455	XR_007090791.1	22	1	3710702	3715197	LOC124908455	lnc_RNA
LOC100287610	XR_007090799.1	22	1	4158122	4166514	LOC100287610	lnc_RNA
LOC100505874	NR_184563.1	22	1	4212443	4237087	LOC100505874	lnc_RNA
LOC100505874	NR_135482.2	22	1	4212443	4237087	LOC100505874	lnc_RNA
LOC100505874	NR_184562.1	22	1	4212443	4219980	LOC100505874	lnc_RNA
LOC100505874	NR_135481.2	22	1	4212443	4219980	LOC100505874	lnc_RNA
LOC124908456	XM_047447069.1	22	-1	4320119	4368021	LOC124908456	mRNA
LOC124908456	XM_047447076.1	22	-1	4320119	4368021	LOC124908456	mRNA
LOC124908456	XM_047447073.1	22	-1	4320119	4367875	LOC124908456	mRNA
LOC124908456	XM_047447077.1	22	-1	4320119	4367875	LOC124908456	mRNA
LOC124908456	XM_047447078.1	22	-1	4320119	4367858	LOC124908456	mRNA
LOC124908456	XM_047447065.1	22	-1	4322714	4368029	LOC124908456	mRNA
LOC124908456	XM_047447064.1	22	-1	4322714	4368021	LOC124908456	mRNA
LOC124908456	XM_047447063.1	22	-1	4322714	4367858	LOC124908456	mRNA
LOC124908456	XM_047447070.1	22	-1	4324585	4368021	LOC124908456	mRNA
LOC124908456	XM_047447072.1	22	-1	4324585	4368021	LOC124908456	mRNA
LOC124908456	XM_047447066.1	22	-1	4324585	4368021	LOC124908456	mRNA
LOC124908456	XM_047447075.1	22	-1	4324585	4368021	LOC124908456	mRNA
LOC124908456	XM_047447074.1	22	-1	4324585	4367875	LOC124908456	mRNA
LOC124908456	XM_047447067.1	22	-1	4324585	4367875	LOC124908456	mRNA
LOC124908456	XM_047447068.1	22	-1	4344360	4368021	LOC124908456	mRNA
LOC124908456	XM_047447081.1	22	-1	4345887	4368021	LOC124908456	mRNA
LOC124908456	XM_047447079.1	22	-1	4345887	4367875	LOC124908456	mRNA
LOC124908456	XM_047447080.1	22	-1	4345887	4367858	LOC124908456	mRNA
LOC124908458	XM_047447082.1	22	-1	4460993	4461166	LOC124908458	mRNA
LOC124908459	XR_007090800.1	22	1	4472039	4492948	LOC124908459	lnc_RNA
LOC124908461	XR_007090807.1	22	-1	4514302	4549839	LOC124908461	lnc_RNA
LOC124908461	XR_007090803.1	22	-1	4514302	4549823	LOC124908461	lnc_RNA
LOC124908461	XR_007090802.1	22	-1	4520466	4549863	LOC124908461	lnc_RNA
LOC124908461	XR_007090805.1	22	-1	4520466	4549834	LOC124908461	lnc_RNA
LOC124908461	XR_007090801.1	22	-1	4520466	4549823	LOC124908461	lnc_RNA
LOC124908461	XR_007090806.1	22	-1	4535351	4549826	LOC124908461	lnc_RNA
LOC124908461	XR_007090804.1	22	-1	4546394	4549817	LOC124908461	lnc_RNA
LOC124908463	XR_007090808.1	22	1	4601047	4604501	LOC124908463	lnc_RNA
LOC124905548	XR_007090811.1	22	-1	4696765	4702307	LOC124905548	lnc_RNA
LOC124908396	XR_007090412.1	22	1	4787475	4795890	LOC124908396	lnc_RNA
LOC124908396	XR_007090413.1	22	1	4787513	4795890	LOC124908396	lnc_RNA
LOC124908396	XR_007090414.1	22	1	4787516	4795890	LOC124908396	lnc_RNA
LOC124908495	XR_007090853.1	22	1	4805561	4810631	LOC124908495	rRNA
LOC124908469	XR_007090827.1	22	1	4844667	4846535	LOC124908469	rRNA
LOC124908474	XR_007090832.1	22	1	4847611	4847763	LOC124908474	rRNA
LOC124908496	XR_007090854.1	22	1	4848937	4854007	LOC124908496	rRNA
LOC124908400	XR_007090420.1	22	1	4854904	4857040	LOC124908400	lnc_RNA
LOC124908400	XR_007090418.1	22	1	4855730	4861338	LOC124908400	lnc_RNA
LOC124908400	XR_007090419.1	22	1	4855730	4860775	LOC124908400	lnc_RNA
LOC124908398	XR_007090416.1	22	1	4899108	4900638	LOC124908398	lnc_RNA
LOC124908470	XR_007090828.1	22	1	4931419	4933287	LOC124908470	rRNA
LOC124908494	XR_007090852.1	22	1	4934363	4934515	LOC124908494	rRNA
