RPL23AP53	NR_003572.2	8	-1	5121	29123	RPL23AP53	transcript
ZNF596	NM_001287255.1	8	1	28942	44149	ZNF596	mRNA
ZNF596	NM_001287256.1	8	1	28942	44149	ZNF596	mRNA
ZNF596	NM_173539.3	8	1	29005	44149	ZNF596	mRNA
ZNF596	NM_001287399.1	8	1	29005	44149	ZNF596	mRNA
ZNF596	NM_001287254.2	8	1	29261	44148	ZNF596	mRNA
ZNF596	NM_001042416.3	8	1	29261	44148	ZNF596	mRNA
ZNF596	NM_001042415.3	8	1	29261	44148	ZNF596	mRNA
ZNF596	XM_054359901.1	8	1	35059	44149	ZNF596	mRNA
ZNF596	XM_054359902.1	8	1	37633	44149	ZNF596	mRNA
LOC124902052	XR_007079458.1	8	-1	99987	103163	LOC124902052	lnc_RNA
LOC105377773	XR_007079460.1	8	-1	105231	108166	LOC105377773	lnc_RNA
LOC105377773	XR_007079459.1	8	-1	105231	108166	LOC105377773	lnc_RNA
FAM87A	NR_103537.1	8	-1	172866	180111	FAM87A	lnc_RNA
FBXO25	NM_183421.2	8	1	204109	275198	FBXO25	mRNA
FBXO25	NM_183420.2	8	1	204109	275198	FBXO25	mRNA
FBXO25	XM_054360277.1	8	1	204109	275198	FBXO25	mRNA
FBXO25	NM_012173.4	8	1	204109	275198	FBXO25	mRNA
FBXO25	XM_054360275.1	8	1	204111	275198	FBXO25	mRNA
FBXO25	XM_054360274.1	8	1	204482	275198	FBXO25	mRNA
FBXO25	XM_054360276.1	8	1	204761	275198	FBXO25	mRNA
TDRP	XM_054359820.1	8	-1	249159	341940	TDRP	mRNA
TDRP	XM_054359818.1	8	-1	249159	340999	TDRP	mRNA
TDRP	XM_054359816.1	8	-1	270307	341940	TDRP	mRNA
TDRP	XM_054359814.1	8	-1	270307	341940	TDRP	mRNA
TDRP	XM_054359815.1	8	-1	270307	313596	TDRP	mRNA
TDRP	XR_008487813.1	8	-1	275448	341402	TDRP	transcript
TDRP	XR_008487814.1	8	-1	276188	341940	TDRP	transcript
TDRP	XM_054359817.1	8	-1	276190	341402	TDRP	mRNA
TDRP	XM_054359821.1	8	-1	283021	341940	TDRP	mRNA
TDRP	XM_054359819.1	8	-1	283358	340998	TDRP	mRNA
