LOC100996442	XR_007065318.1	11	-1	5962	21167	LOC100996442
MIR1302-2HG	XR_007065314.1	11	1	21340	27037	MIR1302-2HG
MIR1302-2	NR_036051.1	11	1	21922	22059	MIR1302-2
MIR1302-2	unassigned_transcript_3	11	1	21994	22014	MIR1302-2
FAM138A	NR_026818.1	11	-1	26230	27700	FAM138A
LOC107986552_2	XR_001743907.1_2	11	-1	116235	118305	LOC107986552
LINC01001	NR_028326.2	11	-1	153293	158012	LINC01001
LINC01001	NR_146389.1	11	-1	153293	165272	LINC01001
LOC112268070	XR_007062533.1	11	-1	174899	196591	LOC112268070
LOC112268070	XR_007062532.1	11	-1	174952	196591	LOC112268070
LOC112268070	XR_007062534.1	11	-1	175559	196591	LOC112268070
LOC112268070	XR_002957217.2	11	-1	176223	196591	LOC112268070
LOC101930129	XR_001748086.3	11	-1	198641	201162	LOC101930129
LOC101930129	XR_001748087.3	11	-1	198641	201162	LOC101930129
SCGB1C1	XM_005252804.4	11	1	228737	235264	SCGB1C1
SCGB1C1	NM_145651.3	11	1	233767	235264	SCGB1C1
ODF3	NM_001286136.2	11	1	237936	241436	ODF3
ODF3	NM_053280.5	11	1	237936	241436	ODF3
BET1L	NM_001098787.2	11	-1	244102	248561	BET1L
BET1L	NM_016526.5	11	-1	244102	248561	BET1L
RIC8A	NM_001286134.2	11	1	248906	256311	RIC8A
RIC8A	NM_001386941.1	11	1	248906	256311	RIC8A
RIC8A	NM_001386942.1	11	1	248906	256311	RIC8A
RIC8A	NM_021932.6	11	1	248906	256311	RIC8A
RIC8A	XM_047427393.1	11	1	248906	256311	RIC8A
MIR6743	NR_106801.1	11	1	250534	250604	MIR6743
MIR6743	unassigned_transcript_1810	11	1	250539	250560	MIR6743
MIR6743	unassigned_transcript_1811	11	1	250581	250603	MIR6743
SIRT3	XM_011519956.3	11	-1	256228	276546	SIRT3
SIRT3	XM_011519957.3	11	-1	256228	276546	SIRT3
SIRT3	NM_001017524.3	11	-1	256228	277334	SIRT3
SIRT3	NM_001370310.1	11	-1	256228	277334	SIRT3
SIRT3	NM_001370312.1	11	-1	256228	277334	SIRT3
SIRT3	NM_001370314.1	11	-1	256228	277334	SIRT3
SIRT3	NM_001370315.1	11	-1	256228	277334	SIRT3
SIRT3	NM_001370316.1	11	-1	256228	277334	SIRT3
SIRT3	NM_001370323.1	11	-1	256228	277334	SIRT3
SIRT3	NM_001370325.1	11	-1	256228	277334	SIRT3
SIRT3	NM_012239.6	11	-1	256228	277334	SIRT3
SIRT3	NR_163394.1	11	-1	256228	277334	SIRT3
SIRT3	NR_163395.1	11	-1	256228	277334	SIRT3
SIRT3	NR_163396.1	11	-1	256228	277334	SIRT3
SIRT3	NR_163397.1	11	-1	256228	277334	SIRT3
SIRT3	NR_163398.1	11	-1	256228	277334	SIRT3
SIRT3	NR_163399.1	11	-1	256228	277334	SIRT3
SIRT3	NR_163400.1	11	-1	256228	277334	SIRT3
SIRT3	NR_163401.1	11	-1	256228	277334	SIRT3
SIRT3	NR_163402.1	11	-1	256228	277334	SIRT3
SIRT3	XM_017017431.2	11	-1	256228	277334	SIRT3
SIRT3	XM_047426677.1	11	-1	256228	277334	SIRT3
SIRT3	NM_001370317.1	11	-1	256228	277937	SIRT3
SIRT3	NM_001370318.1	11	-1	256228	277937	SIRT3
SIRT3	NM_001370319.1	11	-1	256228	277937	SIRT3
SIRT3	NM_001370320.1	11	-1	256228	277937	SIRT3
SIRT3	NM_001370321.1	11	-1	256228	277937	SIRT3
SIRT3	NM_001370322.1	11	-1	256228	277937	SIRT3
SIRT3	NM_001370324.1	11	-1	256228	277937	SIRT3
SIRT3	NR_163386.1	11	-1	256228	277937	SIRT3
SIRT3	NR_163387.1	11	-1	256228	277937	SIRT3
SIRT3	NR_163388.1	11	-1	256228	277937	SIRT3
SIRT3	NR_163389.1	11	-1	256228	277937	SIRT3
SIRT3	NR_163390.1	11	-1	256228	277937	SIRT3
SIRT3	NR_163391.1	11	-1	256228	277937	SIRT3
SIRT3	NR_163392.1	11	-1	256228	277937	SIRT3
SIRT3	NR_163393.1	11	-1	256228	277937	SIRT3
SIRT3	XR_007062467.1	11	-1	265059	277334	SIRT3
PSMD13	NM_002817.4	11	1	277982	293919	PSMD13
PSMD13	NM_175932.3	11	1	277982	293919	PSMD13
PSMD13	XM_011520235.4	11	1	277982	293919	PSMD13
NLRP6	XR_930848.2	11	1	319578	325486	NLRP6
NLRP6	NM_001276700.2	11	1	319578	326561	NLRP6
NLRP6	NM_138329.2	11	1	319741	326561	NLRP6
PGGHG	XM_011520386.3	11	1	330304	334436	PGGHG
PGGHG	XM_011520387.3	11	1	330304	334436	PGGHG
PGGHG	XM_011520385.4	11	1	330304	334849	PGGHG
PGGHG	XR_007062505.1	11	1	330304	334849	PGGHG
PGGHG	XM_047427634.1	11	1	330304	335091	PGGHG
PGGHG	XM_047427633.1	11	1	330304	335104	PGGHG
PGGHG	NM_025092.5	11	1	330304	337324	PGGHG
PGGHG	XM_011520384.3	11	1	330304	337324	PGGHG
PGGHG	XM_017018355.2	11	1	330304	337324	PGGHG
IFITM5	NM_001025295.3	11	-1	339421	340747	IFITM5
IFITM2	NM_006435.3	11	1	349049	350630	IFITM2
IFITM1	NM_003641.5	11	-1	355743	356975	IFITM1
LOC105376505	XR_007062535.1	11	1	359694	374775	LOC105376505
LOC105376505	XR_007062536.1	11	1	359694	374775	LOC105376505
LOC105376505	XR_007062537.1	11	1	359694	374775	LOC105376505
LOC105376505	XR_007062538.1	11	1	359694	374775	LOC105376505
LOC105376505	XR_007062539.1	11	1	359694	374775	LOC105376505
LOC105376505	XR_007062540.1	11	1	359694	374775	LOC105376505
IFITM3	NM_021034.3	11	-1	360910	362094	IFITM3
IFITM3	NR_049759.2	11	-1	360910	362094	IFITM3
B4GALNT4	XR_001747858.2	11	1	413966	424707	B4GALNT4
B4GALNT4	NM_178537.5	11	1	413966	426440	B4GALNT4
B4GALNT4	XM_017017654.2	11	1	414674	426440	B4GALNT4
PKP3	NM_001303029.2	11	1	437907	450273	PKP3
PKP3	NM_007183.4	11	1	439520	450273	PKP3
SIGIRR	NM_001135054.2	11	-1	451081	460446	SIGIRR
SIGIRR	NM_001135053.2	11	-1	451081	462850	SIGIRR
SIGIRR	NM_021805.3	11	-1	451081	462850	SIGIRR
SIGIRR	XM_005253045.1	11	-1	451081	462850	SIGIRR
SIGIRR	XM_005253046.2	11	-1	451081	462850	SIGIRR
SIGIRR	XM_047427387.1	11	-1	451081	462850	SIGIRR
SIGIRR	XM_047427388.1	11	-1	451081	462850	SIGIRR
SIGIRR	XM_047427389.1	11	-1	451714	462850	SIGIRR
ANO9	NM_001012302.3	11	-1	463391	487355	ANO9
ANO9	NM_001347882.2	11	-1	463391	487355	ANO9
LOC105376506	XR_007062542.1	11	1	477141	486017	LOC105376506
LOC105376506	XR_001748090.2	11	1	479336	486017	LOC105376506
LOC105376506	XR_007062541.1	11	1	479336	486017	LOC105376506
PTDSS2	NM_001329548.2	11	1	493612	537233	PTDSS2
PTDSS2	XM_024448699.2	11	1	493612	537233	PTDSS2
PTDSS2	XM_047427642.1	11	1	493612	537233	PTDSS2
PTDSS2	XR_002957201.2	11	1	493612	537233	PTDSS2
PTDSS2	NM_001329544.2	11	1	495623	537233	PTDSS2
PTDSS2	NM_001329545.2	11	1	495623	537233	PTDSS2
PTDSS2	NM_030783.3	11	1	495623	537233	PTDSS2
PTDSS2	NR_138046.2	11	1	495623	537233	PTDSS2
PTDSS2	XR_242827.2	11	1	495623	537233	PTDSS2
PTDSS2	XM_047427643.1	11	1	496701	537233	PTDSS2
PTDSS2	XM_047427644.1	11	1	496818	537233	PTDSS2
