LINC01986	NR_110824.1	3	1	3392	16126	LINC01986	lnc_RNA
LOC105376921	XR_007073962.1	3	1	45818	59337	LOC105376921	lnc_RNA
LOC107986040	XR_007073963.1	3	1	59511	61746	LOC107986040	lnc_RNA
LOC107986057	XR_007073118.1	3	1	115218	124077	LOC107986057	lnc_RNA
LOC107986057	XR_007073119.1	3	1	115218	121433	LOC107986057	lnc_RNA
LOC107986057	XR_007073117.1	3	1	115218	121433	LOC107986057	lnc_RNA
CHL1-AS2	NR_144487.1	3	-1	187577	189160	CHL1-AS2	lnc_RNA
CHL1-AS2	NR_144486.1	3	-1	187577	189160	CHL1-AS2	lnc_RNA
CHL1	XM_054344997.1	3	1	188582	401277	CHL1	mRNA
CHL1	NM_006614.4	3	1	188582	401277	CHL1	mRNA
CHL1	XM_054345004.1	3	1	188582	401277	CHL1	mRNA
CHL1	NM_001253387.2	3	1	188582	401277	CHL1	mRNA
CHL1	XM_054344993.1	3	1	188582	401277	CHL1	mRNA
CHL1	XM_054345005.1	3	1	188582	401277	CHL1	mRNA
CHL1	XM_054345000.1	3	1	188582	401277	CHL1	mRNA
CHL1	XM_054344991.1	3	1	188931	401277	CHL1	mRNA
CHL1	XM_054344999.1	3	1	188931	401277	CHL1	mRNA
CHL1	XM_054344994.1	3	1	188931	401277	CHL1	mRNA
CHL1	XM_054345002.1	3	1	188931	401277	CHL1	mRNA
CHL1	XM_054345003.1	3	1	188932	401277	CHL1	mRNA
CHL1	XM_054345007.1	3	1	188932	401277	CHL1	mRNA
CHL1	NR_045572.2	3	1	189708	240420	CHL1	transcript
CHL1	XM_054344992.1	3	1	189708	401277	CHL1	mRNA
CHL1	XM_054344998.1	3	1	189708	401277	CHL1	mRNA
CHL1	XM_054344995.1	3	1	189708	401277	CHL1	mRNA
CHL1	XM_054345001.1	3	1	189708	401277	CHL1	mRNA
CHL1	XM_054344996.1	3	1	283305	401277	CHL1	mRNA
CHL1	XM_054345006.1	3	1	283305	401277	CHL1	mRNA
CHL1	NM_001253388.1	3	1	311512	401277	CHL1	mRNA
CHL1-AS1	NR_110739.1	3	-1	355216	377638	CHL1-AS1	lnc_RNA
LOC105376922	XR_007073120.1	3	1	475373	482473	LOC105376922	lnc_RNA
LINC01266	NR_110118.1	3	1	583904	837868	LINC01266	lnc_RNA
LOC107986058	XR_007073122.1	3	1	846995	870629	LOC107986058	lnc_RNA
LOC107986058	XR_007073121.1	3	1	846995	862031	LOC107986058	lnc_RNA
CNTN6	XM_054346182.1	3	1	870677	1398549	CNTN6	mRNA
CNTN6	XM_054346183.1	3	1	970421	1398549	CNTN6	mRNA
CNTN6	NM_001349351.2	3	1	1086756	1398549	CNTN6	mRNA
CNTN6	NM_001349354.2	3	1	1086756	1398549	CNTN6	mRNA
CNTN6	NM_001349361.2	3	1	1086756	1398549	CNTN6	mRNA
CNTN6	NM_014461.4	3	1	1086756	1398549	CNTN6	mRNA
CNTN6	NM_001349362.2	3	1	1086756	1398549	CNTN6	mRNA
