LOC102723376	NR_110795.1	10	1	4728	8582	LOC102723376	lnc_RNA
LOC124902360	XR_007081312.1	10	1	35729	39644	LOC124902360	lnc_RNA
LOC124902360	XR_007081309.1	10	1	35729	39291	LOC124902360	lnc_RNA
LOC124902360	XR_007081310.1	10	1	35729	39291	LOC124902360	lnc_RNA
LOC124902360	XR_007081308.1	10	1	35729	36714	LOC124902360	lnc_RNA
LOC124902360	XR_007081311.1	10	1	35745	39291	LOC124902360	lnc_RNA
TUBB8	XM_054365757.1	10	-1	39271	41873	TUBB8	mRNA
TUBB8	NM_177987.3	10	-1	39849	42257	TUBB8	mRNA
TUBB8	NM_001389618.1	10	-1	39853	69557	TUBB8	mRNA
TUBB8	NM_001389619.1	10	-1	39853	67172	TUBB8	mRNA
ZMYND11	NM_001370103.2	10	1	122992	247607	ZMYND11	mRNA
ZMYND11	NR_163254.2	10	1	127197	247607	ZMYND11	transcript
ZMYND11	NM_001370104.2	10	1	127197	247607	ZMYND11	mRNA
ZMYND11	NM_006624.7	10	1	127388	247607	ZMYND11	mRNA
ZMYND11	NM_001370119.2	10	1	127388	247607	ZMYND11	mRNA
ZMYND11	NM_001370105.2	10	1	127388	247607	ZMYND11	mRNA
ZMYND11	NM_001370118.2	10	1	127388	247607	ZMYND11	mRNA
ZMYND11	NM_001370098.2	10	1	127704	247607	ZMYND11	mRNA
ZMYND11	NM_001370113.2	10	1	127704	247607	ZMYND11	mRNA
ZMYND11	NM_001370107.2	10	1	127704	247607	ZMYND11	mRNA
ZMYND11	NM_001330057.3	10	1	127704	247607	ZMYND11	mRNA
ZMYND11	NM_001370097.3	10	1	127704	247607	ZMYND11	mRNA
ZMYND11	NM_001370115.2	10	1	127704	247607	ZMYND11	mRNA
ZMYND11	NM_001370106.2	10	1	127704	247607	ZMYND11	mRNA
ZMYND11	NM_001202466.3	10	1	127704	247607	ZMYND11	mRNA
ZMYND11	NM_001370122.2	10	1	127704	247607	ZMYND11	mRNA
ZMYND11	NM_001202465.3	10	1	127704	247607	ZMYND11	mRNA
ZMYND11	NM_001370116.2	10	1	127704	247607	ZMYND11	mRNA
ZMYND11	NM_001370120.2	10	1	127704	247607	ZMYND11	mRNA
ZMYND11	NM_001370124.3	10	1	127704	247607	ZMYND11	mRNA
ZMYND11	NM_212479.4	10	1	127704	242763	ZMYND11	mRNA
ZMYND11	NM_001370099.2	10	1	128169	247607	ZMYND11	mRNA
ZMYND11	NM_001370114.2	10	1	128169	247607	ZMYND11	mRNA
ZMYND11	NM_001370108.2	10	1	128169	247607	ZMYND11	mRNA
ZMYND11	NM_001370111.2	10	1	128169	247607	ZMYND11	mRNA
ZMYND11	NM_001370110.2	10	1	128169	247607	ZMYND11	mRNA
ZMYND11	NM_001370100.5	10	1	128359	247610	ZMYND11	mRNA
ZMYND11	NM_001370112.2	10	1	128359	247607	ZMYND11	mRNA
ZMYND11	NM_001370123.2	10	1	128359	247607	ZMYND11	mRNA
ZMYND11	NM_001370117.2	10	1	128359	247607	ZMYND11	mRNA
ZMYND11	NM_001202464.3	10	1	128359	247607	ZMYND11	mRNA
ZMYND11	NM_001370121.2	10	1	128359	247607	ZMYND11	mRNA
ZMYND11	NM_001370101.2	10	1	128502	247607	ZMYND11	mRNA
ZMYND11	NM_001370102.2	10	1	128713	247607	ZMYND11	mRNA
ZMYND11	NM_001370109.2	10	1	128713	247607	ZMYND11	mRNA
ZMYND11	XM_054364630.1	10	1	172930	247610	ZMYND11	mRNA
ZMYND11	NM_001202468.1	10	1	172930	242763	ZMYND11	mRNA
ZMYND11	NM_001202467.1	10	1	172930	242763	ZMYND11	mRNA
LOC107984190	XR_007081313.1	10	-1	234998	241876	LOC107984190	lnc_RNA
LOC107984191	XR_007081316.1	10	-1	253142	265318	LOC107984191	lnc_RNA
DIP2C	NM_014974.3	10	-1	267399	686466	DIP2C	mRNA
DIP2C	XM_054365264.1	10	-1	267399	686466	DIP2C	mRNA
DIP2C	XM_054365262.1	10	-1	267399	686466	DIP2C	mRNA
DIP2C	XM_054365260.1	10	-1	267399	686466	DIP2C	mRNA
DIP2C	XM_054365266.1	10	-1	267399	673703	DIP2C	mRNA
DIP2C	XM_054365259.1	10	-1	267399	509376	DIP2C	mRNA
DIP2C	XM_054365261.1	10	-1	267399	509373	DIP2C	mRNA
DIP2C	XM_054365263.1	10	-1	267399	509372	DIP2C	mRNA
DIP2C	XM_054365265.1	10	-1	267399	509370	DIP2C	mRNA
DIP2C	XM_054365269.1	10	-1	267399	375954	DIP2C	mRNA
DIP2C	XM_054365267.1	10	-1	267399	363638	DIP2C	mRNA
DIP2C	XM_054365268.1	10	-1	267399	363634	DIP2C	mRNA
LOC124902362	XR_007081317.1	10	-1	328670	334905	LOC124902362	lnc_RNA
DIP2C-AS2	NR_147612.1	10	1	625209	627900	DIP2C-AS2	lnc_RNA
MIR5699	NR_049884.1	10	-1	638464	638553	MIR5699	primary_transcript
MIR5699	unassigned_transcript_1789	10	-1	638474	638495	MIR5699	miRNA
MIR5699	unassigned_transcript_1790	10	-1	638523	638544	MIR5699	miRNA
DIP2C-AS1	NR_187390.1	10	1	646810	666715	DIP2C-AS1	lnc_RNA
DIP2C-AS1	NR_187391.1	10	1	646810	666715	DIP2C-AS1	lnc_RNA
DIP2C-AS1	NR_187394.1	10	1	646810	649430	DIP2C-AS1	lnc_RNA
DIP2C-AS1	NR_187392.1	10	1	646810	649430	DIP2C-AS1	lnc_RNA
DIP2C-AS1	NR_187393.1	10	1	646810	649430	DIP2C-AS1	lnc_RNA
LARP4B	XM_054365328.1	10	-1	804686	932709	LARP4B	mRNA
LARP4B	XM_054365325.1	10	-1	804686	932709	LARP4B	mRNA
LARP4B	NM_001351277.2	10	-1	804686	929473	LARP4B	mRNA
LARP4B	XM_054365327.1	10	-1	804686	926433	LARP4B	mRNA
LARP4B	XM_054365324.1	10	-1	804686	926433	LARP4B	mRNA
LARP4B	XM_054365326.1	10	-1	804686	902087	LARP4B	mRNA
LARP4B	XM_054365323.1	10	-1	804686	897845	LARP4B	mRNA
LARP4B	XM_054365320.1	10	-1	804686	880982	LARP4B	mRNA
LARP4B	XM_054365321.1	10	-1	804686	880979	LARP4B	mRNA
LARP4B	XM_054365333.1	10	-1	804686	842802	LARP4B	mRNA
LARP4B	XM_054365334.1	10	-1	804686	841027	LARP4B	mRNA
LARP4B	NM_015155.3	10	-1	807269	929473	LARP4B	mRNA
LARP4B	XM_054365332.1	10	-1	807314	929473	LARP4B	mRNA
LARP4B	XM_054365329.1	10	-1	807314	929473	LARP4B	mRNA
LARP4B	XM_054365330.1	10	-1	807314	926433	LARP4B	mRNA
LARP4B	XM_054365322.1	10	-1	807314	880981	LARP4B	mRNA
LARP4B	XM_054365331.1	10	-1	834177	881008	LARP4B	mRNA
LARP4B	XR_008488184.1	10	-1	840712	881007	LARP4B	transcript
LARP4B	XM_054365335.1	10	-1	861961	881021	LARP4B	mRNA
LOC124902363	XM_054367340.1	10	1	929780	932891	LOC124902363	mRNA
LARP4B-DT	NR_120629.1	10	1	930794	940513	LARP4B-DT	lnc_RNA
GTPBP4	NM_012341.3	10	1	985662	1017099	GTPBP4	mRNA
GTPBP4	XM_054365374.1	10	1	985967	1017099	GTPBP4	mRNA
IDI2	NM_033261.3	10	-1	1016077	1023009	IDI2	mRNA
IDI2-AS1	NR_027709.1	10	1	1019806	1041347	IDI2-AS1	lnc_RNA
IDI2-AS1	NR_027708.1	10	1	1019806	1041347	IDI2-AS1	lnc_RNA
IDI2-AS1	NR_024628.1	10	1	1019806	1041347	IDI2-AS1	lnc_RNA
IDI2-AS1	NR_024629.1	10	1	1019806	1041347	IDI2-AS1	lnc_RNA
IDI1	NR_134300.2	10	-1	1036296	1053319	IDI1	transcript
IDI1	XM_054365753.1	10	-1	1036296	1053319	IDI1	mRNA
IDI1	XM_054365755.1	10	-1	1036296	1053319	IDI1	mRNA
IDI1	NM_001317955.2	10	-1	1036296	1053319	IDI1	mRNA
IDI1	XM_054365754.1	10	-1	1036296	1050888	IDI1	mRNA
IDI1	NM_001317957.2	10	-1	1036296	1045496	IDI1	mRNA
IDI1	NM_001317956.2	10	-1	1036296	1045496	IDI1	mRNA
