SEPTIN14P6	NR_109817.1	6	-1	2935	3070	SEPTIN14P6	transcript
LINC03066	NR_126020.1	6	-1	36377	60386	LINC03066	lnc_RNA
LIRIL2R	XR_007077415.1	6	1	37321	42660	LIRIL2R	lnc_RNA
LOC105374870	XR_007077405.1	6	1	85872	92045	LOC105374870	lnc_RNA
LOC105374870	XR_007077404.1	6	1	85885	92045	LOC105374870	lnc_RNA
LOC124906548	XR_007076411.1	6	-1	114878	147419	LOC124906548	lnc_RNA
LOC124906548	XR_007076409.1	6	-1	121124	147419	LOC124906548	lnc_RNA
LOC124906548	XR_007076410.1	6	-1	130470	147419	LOC124906548	lnc_RNA
LOC124906548	XR_007076408.1	6	-1	130470	147419	LOC124906548	lnc_RNA
DUSP22	NR_104473.3	6	1	147423	206310	DUSP22	transcript
DUSP22	NR_104474.3	6	1	147423	206310	DUSP22	transcript
DUSP22	NR_104475.3	6	1	147423	206310	DUSP22	transcript
DUSP22	NM_001286555.3	6	1	147423	206310	DUSP22	mRNA
DUSP22	NM_020185.6	6	1	147423	206310	DUSP22	mRNA
DUSP22	XM_054355940.1	6	1	192828	206310	DUSP22	mRNA
DUSP22	XM_054355941.1	6	1	192904	206310	DUSP22	mRNA
LOC124906582	XM_047444791.1	6	1	220544	229149	LOC124906582	mRNA
IRF4	NR_046000.3	6	1	250136	269771	IRF4	transcript
IRF4	NM_002460.4	6	1	250136	269771	IRF4	mRNA
IRF4	XM_054355349.1	6	1	250136	269771	IRF4	mRNA
IRF4	NM_001195286.2	6	1	250136	269771	IRF4	mRNA
IRF4	XM_054355350.1	6	1	250136	269771	IRF4	mRNA
LOC124906549	XR_007076412.1	6	1	309428	334220	LOC124906549	lnc_RNA
EXOC2	XM_054355846.1	6	-1	343220	550045	EXOC2	mRNA
EXOC2	XM_054355848.1	6	-1	343220	550045	EXOC2	mRNA
EXOC2	XM_054355853.1	6	-1	343220	550045	EXOC2	mRNA
EXOC2	XM_054355857.1	6	-1	343220	550045	EXOC2	mRNA
EXOC2	XM_054355851.1	6	-1	343220	550045	EXOC2	mRNA
EXOC2	XM_054355850.1	6	-1	343220	550045	EXOC2	mRNA
EXOC2	XM_054355849.1	6	-1	343220	550045	EXOC2	mRNA
EXOC2	XM_054355855.1	6	-1	343220	550045	EXOC2	mRNA
EXOC2	XM_054355856.1	6	-1	343220	550045	EXOC2	mRNA
EXOC2	XM_054355854.1	6	-1	343220	549581	EXOC2	mRNA
EXOC2	XM_054355852.1	6	-1	343220	549550	EXOC2	mRNA
EXOC2	NR_073064.2	6	-1	343236	550045	EXOC2	transcript
EXOC2	NM_018303.6	6	-1	343236	550045	EXOC2	mRNA
EXOC2	XM_054355847.1	6	-1	343236	550020	EXOC2	mRNA
EXOC2	XM_054355858.1	6	-1	366151	550045	EXOC2	mRNA
EXOC2	XM_054355859.1	6	-1	366151	550045	EXOC2	mRNA
EXOC2	XM_054355860.1	6	-1	366151	550045	EXOC2	mRNA
EXOC2	XM_054355861.1	6	-1	394215	550045	EXOC2	mRNA
HUS1B	NM_148959.4	6	-1	515149	516310	HUS1B	mRNA
LOC105374873	XR_007076414.1	6	-1	584780	615351	LOC105374873	lnc_RNA
LOC105374873	XR_007076413.1	6	-1	586771	615351	LOC105374873	lnc_RNA
LOC101927691	NR_110853.1	6	1	728965	737088	LOC101927691	lnc_RNA
LOC101930081	XR_007076419.1	6	-1	767945	772055	LOC101930081	lnc_RNA
LOC124901236	XR_007076416.1	6	1	772103	776034	LOC124901236	lnc_RNA
LOC124901236	XR_007076415.1	6	1	772103	776034	LOC124901236	lnc_RNA
LOC124901236	XR_007076418.1	6	1	772103	776034	LOC124901236	lnc_RNA
LOC124901236	XR_007076417.1	6	1	772886	776034	LOC124901236	lnc_RNA
LINC01622	NR_027116.2	6	-1	821695	963078	LINC01622	lnc_RNA
LINC01622	NR_027115.3	6	-1	821695	963078	LINC01622	lnc_RNA
LOC124901237	XR_007076420.1	6	1	1031709	1033802	LOC124901237	lnc_RNA
LOC124901532	XR_007077515.1	6	1	1048422	1048524	LOC124901532	snoRNA
LOC105374879	XR_007076421.1	6	-1	1131966	1158027	LOC105374879	lnc_RNA
FOXQ1	NM_033260.4	6	1	1175612	1178272	FOXQ1	mRNA
FOXF2-DT	NR_187218.1	6	-1	1186964	1252647	FOXF2-DT	lnc_RNA
FOXF2-DT	NR_199825.1	6	-1	1241073	1252647	FOXF2-DT	lnc_RNA
FOXF2-DT	NR_189295.1	6	-1	1246978	1254248	FOXF2-DT	lnc_RNA
FOXF2-DT	NR_189294.1	6	-1	1246978	1254248	FOXF2-DT	lnc_RNA
FOXF2-DT	NR_189293.1	6	-1	1246978	1253725	FOXF2-DT	lnc_RNA
FOXF2-DT	NR_189292.1	6	-1	1246978	1252647	FOXF2-DT	lnc_RNA
FOXF2	NM_001452.2	6	1	1252762	1258791	FOXF2	mRNA
MIR6720	NR_106778.1	6	-1	1253500	1253597	MIR6720	primary_transcript
MIR6720	unassigned_transcript_1015	6	-1	1253510	1253531	MIR6720	miRNA
MIR6720	unassigned_transcript_1016	6	-1	1253545	1253567	MIR6720	miRNA
LOC102723944	XR_007076429.1	6	-1	1316386	1418230	LOC102723944	lnc_RNA
LOC102723944	XR_007076431.1	6	-1	1321237	1352376	LOC102723944	lnc_RNA
LOC105374883	XR_007076439.1	6	1	1352369	1355342	LOC105374883	lnc_RNA
LOC105374883	XR_007076440.1	6	1	1352369	1353661	LOC105374883	lnc_RNA
LOC124901238	XR_007076436.1	6	1	1359011	1375349	LOC124901238	lnc_RNA
LOC124901238	XR_007076437.1	6	1	1359011	1374122	LOC124901238	lnc_RNA
LOC124901238	XR_007076435.1	6	1	1359011	1371830	LOC124901238	lnc_RNA
LOC124901238	XR_007076438.1	6	1	1359011	1371830	LOC124901238	lnc_RNA
LOC102723944	XR_007076433.1	6	-1	1391222	1418290	LOC102723944	lnc_RNA
LOC102723944	XR_007076432.1	6	-1	1391222	1418290	LOC102723944	lnc_RNA
LOC102723944	XR_007076430.1	6	-1	1391222	1418290	LOC102723944	lnc_RNA
LOC102723944	XR_007076434.1	6	-1	1410015	1418230	LOC102723944	lnc_RNA
FOXCUT	NR_125804.1	6	1	1468532	1470359	FOXCUT	lnc_RNA
FOXC1	NM_001453.3	6	1	1472916	1476901	FOXC1	mRNA
GMDS	NM_001500.4	6	-1	1486810	2109239	GMDS	mRNA
GMDS	XM_054355189.1	6	-1	1486810	2108812	GMDS	mRNA
GMDS	NM_001253846.2	6	-1	1486810	2039619	GMDS	mRNA
GMDS	XM_054355192.1	6	-1	1486810	1899202	GMDS	mRNA
LOC107986514	XR_007076441.1	6	1	1519902	1531350	LOC107986514	lnc_RNA
GMDS	XM_054355191.1	6	-1	1545597	2109239	GMDS	mRNA
GMDS	XR_008487300.1	6	-1	1558942	2109239	GMDS	transcript
GMDS	XM_054355190.1	6	-1	1558942	2109239	GMDS	mRNA
GMDS	XM_054355196.1	6	-1	1605623	2109239	GMDS	mRNA
GMDS	XM_054355193.1	6	-1	1808289	2109239	GMDS	mRNA
GMDS	XM_054355195.1	6	-1	1812643	2109239	GMDS	mRNA
GMDS	XM_054355194.1	6	-1	1812671	2109239	GMDS	mRNA
GMDS-DT	NR_046229.1	6	1	2109387	2278865	GMDS-DT	lnc_RNA
LINC01600	NR_131168.1	6	-1	2487489	2500179	LINC01600	lnc_RNA
LINC02521	NR_149118.1	6	1	2500076	2506138	LINC02521	lnc_RNA
LINC02521	NR_149119.1	6	1	2500076	2506138	LINC02521	lnc_RNA
MYLK4	NM_001347872.2	6	-1	2529217	2636238	MYLK4	mRNA
MYLK4	XM_054355316.1	6	-1	2529217	2631760	MYLK4	mRNA
MYLK4	NM_001012418.5	6	-1	2529217	2616778	MYLK4	mRNA
MYLK4	XM_054355317.1	6	-1	2529217	2613257	MYLK4	mRNA
MYLK4	XR_008487327.1	6	-1	2544960	2631335	MYLK4	transcript
LOC124901240	XR_007076442.1	6	-1	2586991	2589784	LOC124901240	lnc_RNA
WRNIP1	NM_020135.3	6	1	2631255	2653114	WRNIP1	mRNA
WRNIP1	NM_130395.3	6	1	2631255	2653114	WRNIP1	mRNA
WRNIP1	XM_054355939.1	6	1	2631255	2653114	WRNIP1	mRNA
WRNIP1	XM_054355938.1	6	1	2631255	2638913	WRNIP1	mRNA
WRNIP1	XM_054355937.1	6	1	2631255	2638875	WRNIP1	mRNA
LOC124901241	XR_007076443.1	6	-1	2656855	2678901	LOC124901241	lnc_RNA
SERPINB1	NR_073112.2	6	-1	2698484	2708021	SERPINB1	transcript
SERPINB1	NR_073111.2	6	-1	2698484	2708021	SERPINB1	transcript
SERPINB1	XM_054354430.1	6	-1	2698484	2708154	SERPINB1	mRNA
SERPINB1	NM_030666.4	6	-1	2698484	2708021	SERPINB1	mRNA
SERPINB1	XM_054354432.1	6	-1	2698484	2708021	SERPINB1	mRNA
SERPINB1	XM_054354429.1	6	-1	2698484	2708021	SERPINB1	mRNA
SERPINB1	XM_054354431.1	6	-1	2698484	2708021	SERPINB1	mRNA
MIR4645	NR_039788.1	6	-1	2720160	2720236	MIR4645	primary_transcript
MIR4645	unassigned_transcript_1017	6	-1	2720169	2720190	MIR4645	miRNA
MIR4645	unassigned_transcript_1018	6	-1	2720208	2720226	MIR4645	miRNA
SERPINB9P1	NR_033851.1	6	-1	2720786	2742634	SERPINB9P1	transcript
SERPINB9-AS1	NR_110841.1	6	1	2750111	2766894	SERPINB9-AS1	lnc_RNA
SERPINB9	NM_004155.6	6	-1	2753393	2769547	SERPINB9	mRNA
SERPINB9	XM_054355640.1	6	-1	2753393	2769408	SERPINB9	mRNA
SERPINB9	XM_054355641.1	6	-1	2753393	2766750	SERPINB9	mRNA
SERPINB9	XM_054355642.1	6	-1	2753393	2766723	SERPINB9	mRNA
LOC124906551	XR_007076445.1	6	1	2782992	2810314	LOC124906551	lnc_RNA
SERPINB6	NR_164657.1	6	-1	2817071	2840481	SERPINB6	transcript
SERPINB6	NM_001297700.2	6	-1	2817071	2840707	SERPINB6	mRNA
SERPINB6	NM_004568.6	6	-1	2817071	2840481	SERPINB6	mRNA
SERPINB6	XM_054355638.1	6	-1	2817071	2840481	SERPINB6	mRNA
SERPINB6	NM_001195291.3	6	-1	2817071	2840481	SERPINB6	mRNA
SERPINB6	XM_054355631.1	6	-1	2817071	2840481	SERPINB6	mRNA
SERPINB6	NM_001271824.2	6	-1	2817071	2840481	SERPINB6	mRNA
SERPINB6	NM_001374515.1	6	-1	2817071	2840481	SERPINB6	mRNA
SERPINB6	XM_054355633.1	6	-1	2817071	2840481	SERPINB6	mRNA
SERPINB6	NM_001297699.2	6	-1	2817071	2840481	SERPINB6	mRNA
SERPINB6	XM_054355634.1	6	-1	2817071	2840481	SERPINB6	mRNA
SERPINB6	NM_001271822.2	6	-1	2817071	2840481	SERPINB6	mRNA
SERPINB6	XM_054355632.1	6	-1	2817071	2840481	SERPINB6	mRNA
SERPINB6	NM_001271823.2	6	-1	2817071	2840203	SERPINB6	mRNA
SERPINB6	NM_001374517.1	6	-1	2817071	2840190	SERPINB6	mRNA
SERPINB6	NM_001374516.1	6	-1	2817071	2839637	SERPINB6	mRNA
SERPINB6	XM_054355635.1	6	-1	2817071	2839637	SERPINB6	mRNA
SERPINB6	XM_054355639.1	6	-1	2817071	2839628	SERPINB6	mRNA
SERPINB6	XM_054355630.1	6	-1	2817071	2839572	SERPINB6	mRNA
SERPINB6	XM_054355636.1	6	-1	2817071	2839566	SERPINB6	mRNA
SERPINB6	NM_001271825.2	6	-1	2817071	2831040	SERPINB6	mRNA
SERPINB6	XM_054355637.1	6	-1	2817071	2831040	SERPINB6	mRNA
LINC01011	NR_026856.1	6	1	2856863	2860094	LINC01011	lnc_RNA
LOC128966756	XM_054356925.1	6	1	2856936	2860094	LOC128966756	mRNA
NQO2-AS1	NR_186367.1	6	-1	2858232	2868577	NQO2-AS1	lnc_RNA
NQO2-AS1	NR_186366.1	6	-1	2858232	2868577	NQO2-AS1	lnc_RNA
NQO2-AS1	NR_186365.1	6	-1	2858232	2868577	NQO2-AS1	lnc_RNA
NQO2-AS1	NR_186364.1	6	-1	2858232	2868577	NQO2-AS1	lnc_RNA
NQO2	NM_001318940.2	6	1	2868796	2888657	NQO2	mRNA
NQO2	NM_001290221.2	6	1	2868796	2888657	NQO2	mRNA
NQO2	NM_000904.6	6	1	2868796	2888657	NQO2	mRNA
NQO2	NM_001290222.2	6	1	2868796	2888657	NQO2	mRNA
HTATSF1P2	NR_033884.3	6	-1	2887861	2892792	HTATSF1P2	transcript
LOC101927759	NR_152848.1	6	1	2892965	2896336	LOC101927759	lnc_RNA
RIPK1	XM_054356647.1	6	1	2932866	2983225	RIPK1	mRNA
RIPK1	NM_001317061.3	6	1	2932866	2983225	RIPK1	mRNA
RIPK1	NM_001354932.2	6	1	2932866	2983225	RIPK1	mRNA
RIPK1	NM_003804.6	6	1	2932866	2983225	RIPK1	mRNA
RIPK1	NM_001354931.2	6	1	2932866	2983225	RIPK1	mRNA
RIPK1	XM_054356652.1	6	1	2932866	2962518	RIPK1	mRNA
RIPK1	NM_001354934.2	6	1	2937277	2983225	RIPK1	mRNA
RIPK1	NM_001354933.2	6	1	2937393	2983225	RIPK1	mRNA
RIPK1	NM_001354930.2	6	1	2937393	2983225	RIPK1	mRNA
RIPK1	XM_054356648.1	6	1	2937393	2962518	RIPK1	mRNA
RIPK1	XM_054356650.1	6	1	2949911	2983225	RIPK1	mRNA
RIPK1	XM_054356649.1	6	1	2950823	2983225	RIPK1	mRNA
RIPK1	XM_054356651.1	6	1	2960931	2983225	RIPK1	mRNA
