DDX11L12	NR_197621.1	19	1	4460	6999	DDX11L12	transcript
WASH5P	NR_033266.1	19	-1	11934	21953	WASH5P	transcript
FAM138F	NR_026820.1	19	-1	27180	28650	FAM138F	lnc_RNA
OR4F17	NM_001005240.3	19	1	58109	64470	OR4F17	mRNA
OR4F17	NM_001429985.1	19	1	58109	64470	OR4F17	mRNA
LINC01002	NR_028324.1	19	-1	148274	153467	LINC01002	lnc_RNA
LOC101928344	XR_007088778.1	19	-1	155272	191101	LOC101928344	lnc_RNA
LOC101928344	XR_007088777.1	19	-1	155277	191101	LOC101928344	lnc_RNA
LOC101928344	XR_007088776.1	19	-1	155283	191101	LOC101928344	lnc_RNA
LOC101928344	XR_007088779.1	19	-1	159582	191101	LOC101928344	lnc_RNA
LOC101928344	XR_007088788.1	19	-1	159582	191101	LOC101928344	lnc_RNA
LOC101928344	XR_007088775.1	19	-1	159582	191101	LOC101928344	lnc_RNA
LOC101928344	XR_007088785.1	19	-1	161910	191101	LOC101928344	lnc_RNA
LOC101928344	XR_007088789.1	19	-1	162936	191101	LOC101928344	lnc_RNA
LOC101928344	XR_007088783.1	19	-1	162936	191101	LOC101928344	lnc_RNA
LOC101928344	XR_007088784.1	19	-1	163106	191101	LOC101928344	lnc_RNA
LOC101928344	XR_007088781.1	19	-1	163106	191101	LOC101928344	lnc_RNA
LOC101928344	XR_007088787.1	19	-1	165673	191101	LOC101928344	lnc_RNA
LOC101928344	XR_007088782.1	19	-1	165673	191101	LOC101928344	lnc_RNA
LOC101928344	XR_007088786.1	19	-1	170352	191101	LOC101928344	lnc_RNA
LOC101928344	XR_007088780.1	19	-1	170352	191101	LOC101928344	lnc_RNA
LOC107985295	XR_007088791.1	19	-1	193243	196814	LOC107985295	lnc_RNA
PLPP2	NM_177526.3	19	-1	232088	242448	PLPP2	mRNA
PLPP2	NM_003712.4	19	-1	232088	242448	PLPP2	mRNA
PLPP2	XM_054322471.1	19	-1	232088	242448	PLPP2	mRNA
PLPP2	NM_177543.3	19	-1	232088	242184	PLPP2	mRNA
LOC124904605	XM_047446902.1	19	-1	250670	254313	LOC124904605	mRNA
MIER2	NM_001387154.1	19	-1	255525	294230	MIER2	mRNA
MIER2	NM_001346105.2	19	-1	255525	294230	MIER2	mRNA
MIER2	NM_001387157.1	19	-1	255525	294230	MIER2	mRNA
MIER2	NM_001387153.1	19	-1	255525	294230	MIER2	mRNA
MIER2	NM_017550.3	19	-1	255525	294230	MIER2	mRNA
MIER2	NM_001387156.1	19	-1	255525	294230	MIER2	mRNA
MIER2	XM_054321266.1	19	-1	255525	293907	MIER2	mRNA
MIER2	NM_001387152.1	19	-1	255525	293907	MIER2	mRNA
MIER2	NM_001387155.1	19	-1	255525	293907	MIER2	mRNA
MIER2	XM_054321267.1	19	-1	255526	294230	MIER2	mRNA
MIER2	XM_054321264.1	19	-1	255526	294230	MIER2	mRNA
MIER2	XM_054321272.1	19	-1	255526	294230	MIER2	mRNA
MIER2	XM_054321265.1	19	-1	255526	293907	MIER2	mRNA
MIER2	XM_054321263.1	19	-1	255526	293907	MIER2	mRNA
MIER2	XM_054321271.1	19	-1	255526	293907	MIER2	mRNA
MIER2	XM_054321270.1	19	-1	255526	293907	MIER2	mRNA
MIER2	XM_054321269.1	19	-1	255526	293907	MIER2	mRNA
MIER2	XM_054321268.1	19	-1	255526	293672	MIER2	mRNA
MIER2	XM_054321273.1	19	-1	255526	280422	MIER2	mRNA
SPMAP2	XM_054321173.1	19	-1	310606	324885	SPMAP2	mRNA
SPMAP2	XM_054321172.1	19	-1	310606	324885	SPMAP2	mRNA
SPMAP2	XM_054321171.1	19	-1	310606	324885	SPMAP2	mRNA
SPMAP2	NM_199202.3	19	-1	310606	324885	SPMAP2	mRNA
SPMAP2	XM_054321170.1	19	-1	310606	324885	SPMAP2	mRNA
SPMAP2	NM_016585.5	19	-1	310606	324885	SPMAP2	mRNA
SPMAP2	XM_054321169.1	19	-1	310606	324885	SPMAP2	mRNA
SPMAP2	XM_054321174.1	19	-1	320231	324885	SPMAP2	mRNA
C2CD4C	XM_054319834.1	19	-1	353898	357600	C2CD4C	mRNA
C2CD4C	NM_001136263.2	19	-1	353898	357600	C2CD4C	mRNA
LOC124904607	XM_047446903.1	19	-1	357764	362745	LOC124904607	mRNA
SHC2	NM_001387056.1	19	-1	364869	412538	SHC2	mRNA
SHC2	NM_012435.3	19	-1	364869	412538	SHC2	mRNA
SHC2	XM_054320469.1	19	-1	364869	412538	SHC2	mRNA
SHC2	XM_054320470.1	19	-1	364869	412538	SHC2	mRNA
CIMAP1D	NM_001385598.1	19	-1	414863	444061	CIMAP1D	mRNA
CIMAP1D	NM_001385599.1	19	-1	414863	444061	CIMAP1D	mRNA
CIMAP1D	NM_001385597.1	19	-1	414863	426225	CIMAP1D	mRNA
CIMAP1D	NM_182577.3	19	-1	414863	426225	CIMAP1D	mRNA
CIMAP1D	NM_001385600.1	19	-1	414863	423958	CIMAP1D	mRNA
CIMAP1D	XM_054320707.1	19	-1	414863	423958	CIMAP1D	mRNA
MADCAM1	NM_130760.3	19	1	448988	457915	MADCAM1	mRNA
MADCAM1	NM_130762.3	19	1	448988	457915	MADCAM1	mRNA
MADCAM1-AS1	XR_007088790.1	19	-1	452078	460031	MADCAM1-AS1	lnc_RNA
TPGS1	NM_033513.3	19	1	460069	472226	TPGS1	mRNA
CDC34	XR_008485226.1	19	1	485161	495858	CDC34	transcript
CDC34	NM_004359.2	19	1	485161	495858	CDC34	mRNA
CDC34	XM_054322798.1	19	1	485161	495858	CDC34	mRNA
GZMM	NM_005317.4	19	1	497822	503990	GZMM	mRNA
GZMM	NM_001258351.2	19	1	497822	503990	GZMM	mRNA
BSG-AS1	NR_184018.1	19	-1	520134	526139	BSG-AS1	lnc_RNA
BSG-AS1	NR_184019.1	19	-1	520134	525645	BSG-AS1	lnc_RNA
BSG	NM_198590.3	19	1	525174	537384	BSG	mRNA
BSG	NM_198591.4	19	1	525174	537376	BSG	mRNA
BSG	NM_001728.4	19	1	526487	537384	BSG	mRNA
BSG	XM_054321844.1	19	1	526487	537384	BSG	mRNA
BSG	NM_198589.3	19	1	526487	537384	BSG	mRNA
BSG	NM_001322243.2	19	1	526487	537384	BSG	mRNA
HCN2	NM_001194.4	19	1	543772	571465	HCN2	mRNA
POLRMT	NR_176425.1	19	-1	571527	587843	POLRMT	transcript
POLRMT	NM_001407813.1	19	-1	571527	587843	POLRMT	mRNA
POLRMT	NM_001407811.1	19	-1	571527	587843	POLRMT	mRNA
POLRMT	NM_001407810.1	19	-1	571527	587843	POLRMT	mRNA
POLRMT	NM_001407807.1	19	-1	571527	587843	POLRMT	mRNA
POLRMT	NM_001407809.1	19	-1	571527	587843	POLRMT	mRNA
POLRMT	NM_001407806.1	19	-1	571527	587843	POLRMT	mRNA
POLRMT	NM_001407832.1	19	-1	571527	587843	POLRMT	mRNA
POLRMT	NM_001407830.1	19	-1	571527	587843	POLRMT	mRNA
POLRMT	NM_001407829.1	19	-1	571527	587843	POLRMT	mRNA
POLRMT	NM_001407815.1	19	-1	571527	587843	POLRMT	mRNA
POLRMT	NM_001407814.1	19	-1	571527	587843	POLRMT	mRNA
POLRMT	NM_001407812.1	19	-1	571527	587843	POLRMT	mRNA
POLRMT	NM_001407816.1	19	-1	571527	587843	POLRMT	mRNA
POLRMT	NM_005035.4	19	-1	571527	587843	POLRMT	mRNA
POLRMT	NM_001407805.1	19	-1	571527	587843	POLRMT	mRNA
POLRMT	NM_001407808.1	19	-1	571527	587843	POLRMT	mRNA
POLRMT	NM_001407834.1	19	-1	571527	587843	POLRMT	mRNA
POLRMT	NM_001407836.1	19	-1	571527	587843	POLRMT	mRNA
POLRMT	NM_001407835.1	19	-1	571527	587843	POLRMT	mRNA
POLRMT	NM_001407833.1	19	-1	571527	587843	POLRMT	mRNA
POLRMT	NM_001407831.1	19	-1	571527	587843	POLRMT	mRNA
POLRMT	XM_054321242.1	19	-1	572089	587843	POLRMT	mRNA
LOC105372234	XR_007088795.1	19	1	587770	588641	LOC105372234	lnc_RNA
FGF22	NM_020637.2	19	1	594185	598645	FGF22	mRNA
FGF22	NM_001300812.3	19	1	594185	598645	FGF22	mRNA
LOC124908067	XR_007088796.1	19	-1	598644	599617	LOC124908067	lnc_RNA
RNF126	NM_001366018.1	19	-1	601753	617249	RNF126	mRNA
RNF126	NM_194460.3	19	-1	601753	617249	RNF126	mRNA
RNF126	XM_054321409.1	19	-1	602648	617249	RNF126	mRNA
LOC124908066	XM_047446901.1	19	1	617155	623686	LOC124908066	mRNA
FSTL3	NM_005860.3	19	1	630475	637473	FSTL3	mRNA
PRSS57	NM_001308209.2	19	-1	639634	649468	PRSS57	mRNA
PRSS57	NM_214710.5	19	-1	639634	649468	PRSS57	mRNA
PALM	NM_002579.3	19	1	662950	702386	PALM	mRNA
PALM	NM_001040134.2	19	1	662950	702386	PALM	mRNA
PALM	XM_054321136.1	19	1	664976	702386	PALM	mRNA
PALM	XM_054321134.1	19	1	664998	702386	PALM	mRNA
PALM	XM_054321135.1	19	1	673114	702386	PALM	mRNA
MISP	XM_054319805.1	19	1	702466	718374	MISP	mRNA
MISP	NR_135168.2	19	1	705170	718374	MISP	transcript
MISP	NM_173481.4	19	1	705170	718374	MISP	mRNA
MISP	XM_054319806.1	19	1	708504	718374	MISP	mRNA
LOC101928450	NR_187752.1	19	-1	735053	736659	LOC101928450	lnc_RNA
PTBP1	NM_002819.5	19	1	751931	766786	PTBP1	mRNA
PTBP1	NM_031990.4	19	1	751931	766786	PTBP1	mRNA
PTBP1	NM_031991.4	19	1	751931	766786	PTBP1	mRNA
PTBP1	XM_054321515.1	19	1	752408	766786	PTBP1	mRNA
PTBP1	XM_054321516.1	19	1	752408	762876	PTBP1	mRNA
PTBP1	NM_001411140.1	19	1	752463	766786	PTBP1	mRNA
